#left(0, 0) (5, 776)
1 (449, 0) (454, 776) 0.04973786140855627
2 (450, 0) (455, 776) 0.04881256627914736
3 (451, 0) (456, 776) 0.0470954225405959
4 (452, 0) (457, 776) 0.045029640281946295
5 (453, 0) (458, 776) 0.04762105074589663
6 (454, 0) (459, 776) 0.05690061430701701
7 (455, 0) (460, 776) 0.07382895389357202
8 (456, 0) (461, 776) 0.097169763267529
9 (457, 0) (462, 776) 0.1245012916349177
10 (458, 0) (463, 776) 0.14817801070572684
11 (459, 0) (464, 776) 0.16471460784727976
12 (460, 0) (465, 776) 0.17070979528062302
13 (461, 0) (466, 776) 0.16547398459415283
14 (462, 0) (467, 776) 0.15005918443354158
15 (463, 0) (468, 776) 0.12987968814254053
16 (464, 0) (469, 776) 0.11098520348754644
17 (465, 0) (470, 776) 0.09094459117889292
18 (466, 0) (471, 776) 0.07651870154213165
19 (467, 0) (472, 776) 0.06849715407631327
20 (468, 0) (473, 776) 0.06619781767131534
21 (469, 0) (474, 776) 0.06607410142242987
22 (470, 0) (475, 776) 0.06898744932519077
23 (471, 0) (476, 776) 0.07702935027902903
24 (472, 0) (477, 776) 0.09208301909020407
25 (473, 0) (478, 776) 0.11370002551363652
26 (474, 0) (479, 776) 0.13921824797671747
27 (475, 0) (480, 776) 0.16447763273492685
28 (476, 0) (481, 776) 0.18421047689758363
29 (477, 0) (482, 776) 0.19416531938112372
30 (478, 0) (483, 776) 0.19312342239388056
31 (479, 0) (484, 776) 0.18078754600147853
32 (480, 0) (485, 776) 0.15959731687535092
33 (481, 0) (486, 776) 0.13262464529670165
34 (482, 0) (487, 776) 0.10490342222600885
35 (483, 0) (488, 776) 0.07874126835363951
36 (484, 0) (489, 776) 0.06171334526142398
37 (485, 0) (490, 776) 0.057793547470960806
38 (486, 0) (491, 776) 0.06671724177103741
39 (487, 0) (492, 776) 0.08567080741813621
40 (488, 0) (493, 776) 0.11236973111839034
41 (489, 0) (494, 776) 0.13893363831500583
42 (490, 0) (495, 776) 0.15824595113697026
43 (491, 0) (496, 776) 0.16751648014137782
44 (492, 0) (497, 776) 0.16529728956585207
45 (493, 0) (498, 776) 0.1519237195396231
46 (494, 0) (499, 776) 0.1305806050441769
47 (495, 0) (500, 776) 0.10882062400395541
48 (496, 0) (501, 776) 0.08712080598643816
49 (497, 0) (502, 776) 0.06959855652104592
50 (498, 0) (503, 776) 0.05908695292915491
51 (499, 0) (504, 776) 0.055628595534527564
52 (500, 0) (505, 776) 0.055100690452490095
53 (501, 0) (506, 776) 0.05704634482794073
54 (502, 0) (507, 776) 0.06317550293217607
55 (503, 0) (508, 776) 0.07550623384737723
56 (504, 0) (509, 776) 0.09460679901167258
57 (505, 0) (510, 776) 0.11856611081198555
58 (506, 0) (511, 776) 0.14381291831151236
59 (507, 0) (512, 776) 0.16512918548180963
60 (508, 0) (513, 776) 0.17782467545093578
61 (509, 0) (514, 776) 0.17965905540882102
62 (510, 0) (515, 776) 0.16997913694432146
63 (511, 0) (516, 776) 0.15083107877521523
64 (512, 0) (517, 776) 0.12410421752403698
65 (513, 0) (518, 776) 0.09614403255699565
66 (514, 0) (519, 776) 0.07015855369083802
67 (515, 0) (520, 776) 0.04904419476017161
68 (516, 0) (521, 776) 0.03420818071091822
69 (517, 0) (522, 776) 0.02521594224844845
70 (518, 0) (523, 776) 0.020128785205488144
71 (519, 0) (524, 776) 0.016961724212747702
72 (520, 0) (525, 776) 0.015082176082028075
73 (521, 0) (526, 776) 0.013985881758288386
74 (522, 0) (527, 776) 0.01302808735354483
